id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
230,,Stationsstraat- Helkijn- Spiere-Helkijn 8587,Disappeared,X,,11437,Popp Remastered,3.380788177,50.74187308
233,Driehoven,Driehoven- Kooigem 8510,Disappeared,X,/233 - Driehoven,3721,Popp Remastered,3.351847738,50.7392585
234,t Ridderhof,Kooigembosstraat- Kooigem 8510,Incomplete,X,/234 - t Ridderhof,2932,Popp Remastered,3.342116074,50.74148896
235,,12- Kooigemsestraat- Kooigem 8510,Incomplete,X,,4213,Popp Remastered,3.333794229,50.73899828
236,,Ten Walledreef- Kooigem- Sint-Denijs- Zwevegem 8554,Incomplete,X,,3193,Popp Remastered,3.329936809,50.74967878
237,Goed te Tollardrie,Geitenbergstraat- Kooigem 8510,Incomplete,X,/237 - Goed te Tollardrie,2371,Popp Remastered,3.324767475,50.74936906
238,Ter Scueren-St-Antoniushof,Doornikserijksweg- Kooigem 8510,Disappeared,X,/238 - Ter Scueren-St-Antoniushof,5474,Popp Remastered,3.318344969,50.74549113
240,No name,Slots Decoration- 432- Doornikserijksweg- Kooigem 8510,Complete,X,/240 - No Name,10852,Popp Remastered,3.326608072,50.73578869
243,,In de Deugdzonde- 2- Priesterstraat- Sint-Denijs- Zwevegem 8554,Incomplete,X,,4404,Popp Remastered,3.327117173,50.7620785
244,Goed te Cattebeke,Konijntjespad- Bellegem 8510,Incomplete,X,/244 - Goed te Cattebeke,4496,Popp Remastered,3.306772709,50.76098855
245,,Brucqweg- Sint-Denijs- Zwevegem 8554,Incomplete,X,,8082,Popp Remastered,3.348616904,50.760939
246,,Brucqweg- Sint-Denijs- Zwevegem 8554,Incomplete,X,,5716,Popp Remastered,3.345483974,50.76116195
247,,Marquettestraat- Sint-Denijs- Zwevegem 8554,Incomplete,X,,10398,Popp Remastered,3.35190648,50.77073529
248,,Kanteinstraat- Sint-Denijs- Zwevegem 8554,Incomplete,X,,8104,Popp Remastered,3.331542436,50.77932858
249,,Comminnestraat- Moen- Zwevegem 8552,Incomplete,X,,2784,Popp Remastered,3.36710119,50.78699187
250,,Kwatanenstraat- Moen- Zwevegem 8552,Incomplete,X,,5026,Popp Remastered,3.363439578,50.79303247
251,Goed te Moen,Moenplaats- Moen- Zwevegem 8552,Complete,CLOSED,/251 - Goed te Moen,10253,Popp Remastered,3.400310246,50.76947217
252,Ouf Hof van Bellegem,Steenlanderpad- Bellegem 8510,Incomplete,X,/252 - Ouf Hof van Bellegem,11571,Popp Remastered,3.2935165,50.76793656
253,Goed te Brasseye,4 - Grotestraat - Bellegem,Incomplete,OPEN,/253 - Goed te Brasseye,11171,Popp Remastered,3.285410044,50.75666564
254,Goed te Deurwaerders,Grotestraat- Bellegem 8510,Incomplete,X,/254 - Goed te Deurwaerders,2452,Popp Remastered,3.291362611,50.75385368
256,Hof van Mortagne,Bellegem 8510,Disappeared,X,/256 - Hof van Mortagne,4887,Popp Remastered,3.276814068,50.76962078
257,,Tombroekstraat- Rollegem 8510,Incomplete,X,,7900,Popp Remastered,3.264341091,50.76406017
